2,13,2,6,19,13,2,12,2,2,7,2,15,4,4,19,19,12,8,27,2,2,6,8,2,15,2,7,12,7,8,4,2,2,9,5,26,4,6,9,6,18,3,8,25,2,26,4,13,3,5,13,29,5,14,2,4,2,19,3,3,16,3,19,40,2,8,14,9,8,7,41,2,46,44,2,2,3,7,20
2,2,2,32,2,65,2,2,49,2,2,2,20,11,6,18,10,16,2,14,2,2,7,8,6,2,6,2,2,2,9,2,11,2,16,3,21,9,2,12,6,28,5,11,26,2,14,5,17,10,3,23,42,9,23,31,3,5,11,3,16,20,3,20,38,57,4,7,9,17,3,23,9,16,38,3,2,5,8,13
2,13,2,2,2,18,2,2,2,7,5,5,27,4,8,23,6,15,14,10,2,2,6,2,6,7,2,2,4,11,4,15,2,4,7,4,8,5,6,11,4,41,6,47,28,2,7,8,21,19,10,9,36,5,22,19,4,4,15,11,4,9,4,13,25,8,10,9,13,31,5,18,44,10,16,3,2,7,2,13
2,27,2,9,2,13,2,4,2,7,5,4,4,11,8,21,9,25,8,15,2,2,6,13,6,7,2,2,10,11,31,5,13,2,16,4,15,15,6,19,7,7,6,18,25,2,3,2,8,14,18,6,23,11,6,12,4,2,2,15,16,20,8,7,8,2,8,21,9,10,10,16,29,20,16,3,3,7,6,13
9,11,2,9,2,13,2,8,2,4,2,5,10,9,8,15,9,12,10,15,2,2,4,2,2,28,10,4,2,14,26,2,2,4,13,3,21,14,6,2,5,15,13,39,22,2,8,7,8,10,64,3,20,23,6,10,5,3,13,13,8,14,9,4,12,22,7,36,12,5,9,28,32,10,14,2,2,8,8,3
2,13,2,2,2,13,2,2,11,7,2,3,7,8,5,3,12,25,12,16,7,2,9,2,17,7,6,11,10,8,9,18,11,2,5,4,10,8,5,7,5,42,14,30,14,2,17,8,10,3,19,19,16,7,10,8,7,3,7,21,5,8,6,2,15,13,13,41,11,7,10,22,5,19,13,3,4,12,5,13
2,19,2,4,2,6,2,2,17,2,5,2,12,7,2,8,9,10,12,7,19,6,3,8,2,41,6,19,2,2,43,11,7,5,2,2,4,8,2,10,2,2,6,15,11,2,7,6,6,4,12,6,16,24,10,12,4,2,4,34,8,10,12,2,15,2,3,25,11,5,21,19,21,4,16,5,4,15,12,8
2,11,2,7,9,17,6,2,2,2,5,2,7,8,2,11,10,16,8,2,12,2,13,8,3,16,2,11,4,11,27,2,15,4,6,2,2,2,6,13,5,2,3,7,7,2,12,8,17,17,35,6,16,14,4,4,2,4,13,13,4,18,6,2,7,15,8,4,9,5,7,35,7,9,12,4,5,15,9,13
12,7,2,4,2,14,2,2,17,7,5,2,9,9,2,13,9,10,8,9,12,7,9,7,2,32,6,2,2,7,3,5,2,2,2,2,2,8,5,16,2,2,2,5,8,2,13,6,24,20,12,35,8,5,12,14,6,4,2,9,3,9,8,2,26,4,5,2,10,5,30,18,3,9,4,23,6,25,6,34
2,6,2,2,2,29,2,7,30,2,2,7,8,2,4,2,5,26,9,10,7,2,13,2,9,9,10,18,4,7,14,5,2,4,7,9,2,2,2,10,10,2,3,10,14,2,25,3,25,9,17,35,14,5,10,4,6,4,7,7,8,5,7,2,22,15,2,2,8,8,4,19,7,6,2,21,6,8,9,35
8,4,2,7,2,2,5,2,2,36,2,6,3,2,6,2,2,6,9,33,14,2,37,17,2,2,8,10,7,8,10,29,31,22,40,17,9,19,12,2,6,22,2,11,4,4,6,4,2,5,6,7,16,13,11,23,42,8,25,16,11,4,2,3,8,12,2,18,7,40,10,5,14,24,15,2,4,74,3,2
8,48,10,20,9,16,6,8,2,26,7,29,3,11,17,17,24,14,41,59,38,2,46,18,38,26,35,43,10,25,14,45,8,51,19,14,59,38,32,8,44,5,2,19,3,24,4,7,87,15,2,8,23,11,31,7,5,17,53,8,49,6,9,4,14,28,69,8,10,47,8,30,9,16,37,14,8,36,32,5
10,69,62,43,4,16,32,2,4,13,18,10,38,10,24,10,44,12,54,29,4,78,8,28,29,24,17,12,7,17,26,16,10,57,7,4,81,5,34,8,16,12,4,10,12,7,7,13,4,20,3,21,16,8,49,9,11,20,25,7,8,14,11,81,20,20,6,13,28,43,5,44,3,16,9,25,50,52,7,22
29,50,65,39,2,13,31,2,5,21,23,7,55,15,27,13,8,24,48,24,17,8,11,40,7,17,8,5,7,8,19,2,10,26,12,25,41,13,26,18,12,6,3,13,7,4,6,11,8,7,5,16,22,12,31,4,11,4,19,15,10,9,22,66,14,5,6,23,24,46,27,52,9,19,15,17,25,32,17,10
20,58,76,50,4,2,27,16,45,27,28,3,52,11,29,2,25,16,61,23,25,10,19,27,2,16,22,4,9,13,11,4,10,43,18,15,16,10,28,20,16,11,3,16,3,7,36,23,3,7,3,22,30,8,25,13,13,3,19,33,10,5,65,61,9,20,10,18,27,47,30,29,9,36,14,6,6,13,55,10
16,52,73,37,4,5,35,10,43,53,5,7,52,10,15,13,32,19,73,27,36,14,12,7,2,19,26,3,7,22,5,4,13,54,6,8,2,4,35,24,25,11,2,9,4,15,17,13,9,12,2,18,11,2,22,9,17,18,25,44,28,9,70,72,31,7,11,20,20,46,19,27,13,48,13,35,21,44,78,10
19,74,53,41,4,4,31,10,38,21,2,10,63,14,24,14,42,24,19,30,27,19,10,2,2,9,26,15,4,9,12,2,41,59,22,29,32,4,17,23,19,11,5,77,9,12,45,4,14,15,4,9,17,29,23,21,9,15,41,15,9,4,67,36,32,49,9,7,7,39,16,35,25,30,25,58,35,45,69,28
16,62,53,25,9,5,32,18,20,6,4,8,69,11,53,22,34,27,22,38,7,70,7,2,30,16,35,43,13,8,47,4,5,49,35,2,56,2,37,29,8,10,3,65,2,15,32,6,17,32,4,9,25,18,17,18,10,21,36,7,12,4,58,3,11,5,49,4,27,23,54,22,8,15,10,5,54,36,55,19
22,58,74,11,9,2,35,46,21,13,4,20,69,33,37,35,13,21,4,26,8,82,25,8,53,28,37,55,17,4,53,8,12,28,71,28,67,2,41,27,8,3,10,38,5,16,33,6,5,7,3,9,6,17,14,28,24,22,39,4,11,6,55,2,11,4,58,20,17,16,19,67,7,20,36,3,19,13,56,55
